sqft,bedrooms,bathrooms,age,lot_size,garage,neighborhood,has_pool,distance_city,condition,price
1408,5,2,20,0.69,3,10,0,31.8,8,754000
4072,5,2,60,0.33,0,2,1,11.1,7,693000
1947,3,3,73,1.12,2,9,1,15.2,4,699000
4197,4,2,85,2.3,2,10,0,27.7,3,1153000
3311,5,1,93,1.84,2,3,0,39.7,6,648000
2594,3,3,93,2.06,2,1,0,36.2,8,568000
1459,3,4,79,2.19,2,2,0,21.1,3,432000
3611,5,2,74,2.43,1,8,0,27.3,5,815000
2169,4,4,85,1.93,1,10,0,21.5,10,777000
2786,3,3,28,1.56,1,6,0,17.7,1,790000
946,2,1,24,0.98,0,1,0,24.3,10,367000
4019,2,3,57,0.54,1,9,0,15.8,10,939000
3711,5,2,13,1.75,0,7,0,11.6,8,961000
2534,4,2,77,2.49,1,10,1,28.4,7,709000
2643,3,3,65,1.22,2,3,1,34.9,8,805000
1288,2,3,53,1.84,3,7,0,11.9,2,486000
3776,4,2,76,1.29,3,6,0,28.4,7,837000
2759,4,4,66,1.14,1,3,0,17.6,4,636000
3185,3,3,29,1.08,1,8,1,12.4,2,868000
3719,5,4,17,1.31,1,1,0,25.0,9,668000
2602,2,2,53,0.98,3,5,0,37.6,5,660000
4861,3,4,99,1.9,2,8,0,14.4,7,1135000
4169,4,2,20,2.2,1,3,0,30.5,4,896000
1062,3,1,52,2.22,3,10,0,12.9,10,645000
1423,5,3,82,0.65,1,6,0,32.3,4,412000
1816,4,3,15,2.25,3,10,0,30.5,3,574000
4443,4,3,27,0.92,1,2,1,30.7,1,1021000
2849,2,2,3,0.84,1,9,0,39.9,2,558000
4523,2,1,54,1.84,2,2,0,6.1,9,800000
3908,3,3,14,0.83,3,5,1,15.9,1,1107000
4890,4,2,63,0.23,3,3,0,25.4,5,741000
2856,4,3,64,1.0,2,10,0,23.8,2,737000
3970,5,2,15,1.83,1,9,0,31.3,4,1241000
2482,4,4,19,0.88,2,9,1,2.4,7,905000
3055,5,3,63,1.61,3,7,0,28.3,5,639000
1954,4,3,32,1.68,2,10,0,29.6,1,741000
3991,3,4,80,1.86,2,5,0,2.9,3,943000
2496,3,3,68,2.25,2,9,1,21.8,10,836000
4791,4,1,68,1.14,2,7,0,10.2,9,722000
2448,2,1,57,0.5,2,2,0,32.2,1,517000
2245,2,3,38,0.87,2,10,0,2.5,10,1001000
4999,4,2,76,1.14,3,1,0,6.3,4,939000
4723,5,3,35,1.81,2,10,0,4.6,5,1068000
1053,2,2,93,0.13,2,10,1,3.1,10,568000
3983,4,2,67,0.86,1,4,0,24.2,3,821000
3357,5,2,86,1.97,1,10,0,34.8,3,858000
898,3,4,20,1.71,3,8,0,20.7,1,535000
3000,2,3,62,1.86,1,6,0,8.8,6,801000
3761,2,4,84,2.05,3,2,0,14.1,4,875000
4577,4,4,5,1.98,2,5,0,14.7,8,1563000
3669,4,2,23,1.74,2,9,0,18.3,6,1036000
4034,5,2,52,1.16,3,6,0,17.1,3,942000
4591,4,3,94,2.46,2,6,0,27.0,7,755000
1756,2,4,82,1.47,3,7,0,13.9,3,441000
4867,2,2,75,0.59,1,5,1,26.7,9,975000
960,4,4,77,0.8,2,3,0,22.1,8,384000
2100,2,1,49,1.76,2,3,0,2.4,3,454000
4787,3,2,11,2.32,1,5,0,36.8,2,832000
2327,3,3,55,0.53,2,4,1,7.5,3,679000
2018,1,2,14,0.3,2,5,0,18.3,4,501000
3904,3,1,82,2.22,3,9,1,37.9,3,790000
3535,3,2,91,2.3,1,5,0,10.3,9,667000
1754,3,1,39,0.76,2,4,0,1.4,10,500000
4246,2,3,40,1.01,1,4,0,19.9,2,786000
1845,4,4,68,1.68,2,1,1,9.3,8,585000
2493,5,4,68,0.89,2,10,0,23.5,7,804000
4236,3,3,5,2.21,2,4,0,32.8,1,865000
1362,4,2,86,0.36,2,4,0,20.7,6,282000
3285,3,2,66,0.19,1,9,1,26.0,6,655000
4154,4,1,100,0.6,1,4,0,26.8,9,704000
1025,5,2,32,0.79,0,7,0,32.9,10,541000
1759,4,2,42,0.37,2,1,1,27.7,8,489000
3867,5,3,20,0.26,3,7,0,39.1,7,1010000
1615,2,4,83,1.91,0,2,1,18.5,7,542000
3920,2,2,64,0.49,0,8,0,2.5,5,811000
816,5,3,16,2.29,2,1,1,16.1,2,449000
2043,3,1,92,0.98,2,10,1,33.7,10,639000
3005,3,3,7,1.71,1,3,1,5.8,5,818000
3324,4,3,63,0.64,1,8,0,29.6,1,615000
1869,5,2,89,0.68,1,10,1,21.7,10,703000
4244,5,2,27,1.48,1,8,0,36.1,6,993000
3365,3,4,97,1.45,1,5,0,29.4,2,582000
1860,5,3,89,1.94,1,5,0,26.6,1,458000
3127,1,4,12,1.92,2,8,0,35.5,1,579000
4220,1,3,100,1.71,2,10,1,36.4,1,683000
1101,4,4,12,1.18,0,5,0,15.7,4,545000
1406,2,2,37,2.24,2,9,1,37.1,5,569000
3970,3,1,24,1.59,2,1,0,2.7,5,1004000
1499,4,2,61,2.48,3,5,1,30.6,1,526000
1939,3,1,22,2.07,1,3,1,13.8,6,612000
990,2,2,85,0.21,2,3,1,19.8,3,287000
3100,3,3,20,0.87,2,2,0,33.5,4,576000
1780,3,3,53,1.47,1,3,0,25.7,5,499000
3775,3,2,62,1.83,3,7,0,18.6,4,792000
1984,4,4,29,1.42,2,8,0,7.0,4,757000
4127,4,1,74,1.99,2,8,0,37.6,10,816000
4194,3,2,67,0.78,1,8,0,13.6,1,950000
927,5,3,96,0.54,1,1,0,4.5,2,269000
2865,2,3,75,0.23,2,7,0,22.8,2,744000
2616,3,2,72,1.48,1,2,0,16.5,2,572000
1369,5,1,31,1.75,2,10,0,23.8,10,653000
2695,3,3,74,0.88,1,4,0,9.7,1,702000
3533,6,1,100,1.57,2,5,0,15.5,10,852000
4663,3,1,23,0.23,2,1,1,38.9,8,587000
4814,4,3,6,0.34,0,4,0,37.5,1,825000
3701,3,2,71,1.78,2,4,0,34.6,8,761000
2486,3,2,96,0.98,2,9,0,31.3,1,683000
3809,3,2,88,1.71,1,9,1,6.7,10,895000
954,4,4,0,2.1,0,10,0,18.9,3,527000
3337,4,4,2,2.15,1,1,0,29.3,9,574000
2209,5,2,27,0.51,1,8,0,10.8,8,853000
4857,3,2,42,1.27,3,4,0,1.8,2,1228000
1584,2,2,96,1.86,2,4,0,17.0,4,336000
3975,3,2,45,1.96,0,5,1,17.3,8,715000
3606,4,2,0,1.98,1,2,0,3.1,9,1039000
1337,5,3,37,0.65,0,1,0,13.2,7,493000
2641,3,2,90,0.56,2,5,0,36.7,1,445000
3255,4,2,34,1.52,1,7,0,10.4,8,827000
1324,3,2,73,1.88,2,10,1,23.0,1,579000
3750,4,2,75,0.87,1,9,1,19.8,9,780000
4931,5,2,73,0.35,3,2,1,34.6,8,839000
4915,3,2,53,1.82,1,8,0,26.3,4,968000
3168,3,3,97,0.82,2,7,0,6.8,10,668000
4647,6,3,23,0.5,2,2,1,6.1,4,1488000
3501,5,2,27,0.45,2,5,0,22.5,4,959000
1771,4,3,21,0.86,2,7,0,2.3,6,645000
1966,4,2,15,1.52,2,3,0,16.0,2,577000
3574,3,1,12,0.96,2,2,0,16.3,4,577000
2782,4,3,99,0.15,2,6,0,8.3,4,675000
1653,5,2,99,0.33,3,10,0,12.4,8,672000
4946,4,3,61,0.8,2,6,0,13.5,2,907000
4536,3,3,42,1.68,3,4,1,1.0,8,1022000
4569,3,4,86,0.34,1,1,1,32.3,10,744000
1374,3,4,77,1.45,2,5,0,38.3,2,486000
4061,2,1,31,0.39,3,1,1,11.9,9,1051000
1948,2,4,66,0.61,1,8,0,4.9,9,674000
2515,3,3,90,0.51,3,2,1,38.2,6,562000
4654,2,3,82,0.26,0,9,0,29.8,10,767000
3291,2,1,85,1.71,3,9,0,35.7,5,670000
3460,4,4,56,1.21,2,3,0,14.8,7,776000
3924,2,1,64,2.09,0,6,0,19.6,8,734000
3851,2,3,68,0.34,3,9,0,37.2,8,961000
804,3,1,48,0.45,1,7,1,18.7,3,283000
1676,3,3,32,0.84,0,4,0,27.0,3,355000
1791,4,2,18,1.94,1,3,0,28.3,5,478000
4942,2,2,35,0.83,2,2,0,33.6,5,693000
1435,4,1,69,1.08,3,10,0,39.0,2,565000
2493,5,2,14,0.82,1,10,0,13.7,5,925000
2482,4,1,99,0.29,2,1,0,10.3,1,315000
919,4,2,96,2.35,1,10,0,3.6,7,524000
1630,5,3,23,1.42,2,1,0,34.3,7,478000
4475,4,3,26,1.99,1,4,0,12.1,1,951000
2169,1,3,48,1.68,1,4,0,2.5,3,604000
1540,3,1,74,1.33,1,9,0,34.7,8,339000
916,5,2,22,0.32,2,10,1,20.6,9,717000
3638,3,2,32,1.64,3,1,0,33.6,3,798000
1950,1,4,40,0.47,2,4,1,22.4,6,671000
2731,4,4,55,1.09,0,3,1,12.9,6,494000
1812,5,2,28,1.61,2,9,0,5.6,6,718000
2464,2,1,30,1.98,2,5,0,17.8,5,701000
1881,4,4,64,1.74,1,9,0,1.5,6,735000
1312,2,4,97,1.71,0,10,0,24.3,6,535000
3649,4,4,17,0.46,1,6,1,17.4,10,1043000
1359,3,3,81,0.93,2,9,1,6.1,6,413000
4472,3,2,5,0.2,2,1,1,21.4,8,1116000
4143,5,2,51,1.83,2,4,0,32.1,6,826000
4870,3,2,39,2.39,1,4,0,39.0,3,964000
2270,4,2,64,0.73,1,10,1,21.3,7,874000
1380,3,2,41,0.31,3,10,0,5.6,6,613000
3094,3,2,93,1.24,1,6,0,32.5,9,632000
3947,4,2,67,2.16,3,10,1,28.0,4,830000
2479,2,2,31,1.42,2,1,1,38.2,1,425000
4306,3,2,9,0.21,1,10,0,21.6,6,831000
3544,3,1,68,2.44,2,5,0,14.6,9,824000
4156,4,2,8,2.09,3,3,0,38.5,8,1278000
4845,5,3,68,0.42,2,1,0,21.8,2,829000
2043,6,3,60,2.31,3,6,0,1.1,3,705000
3918,3,2,10,1.18,1,3,0,19.2,8,960000
2941,3,2,98,0.99,2,4,0,0.6,9,606000
3859,3,1,90,1.21,3,9,0,29.6,8,1050000
3759,5,3,67,2.1,3,2,0,22.9,10,816000
3065,3,2,73,1.68,2,1,0,4.8,1,718000
3279,6,2,96,0.24,2,10,0,32.6,3,817000
2435,3,4,7,2.4,0,6,1,21.7,8,809000
2557,6,2,48,0.45,1,1,0,5.0,1,500000
2870,5,1,23,1.89,1,1,0,6.8,7,798000
3649,5,2,32,1.63,0,7,0,33.0,4,813000
4051,3,2,18,0.55,1,2,0,14.5,7,774000
4530,1,2,1,0.51,1,4,0,32.9,4,1087000
3289,3,4,54,2.19,3,4,0,3.2,8,602000
2431,3,2,10,1.11,2,2,0,10.1,6,795000
3616,1,3,98,1.67,2,6,0,30.7,10,1016000
1815,4,2,16,1.31,3,10,1,25.8,10,694000
2148,3,2,41,1.85,1,2,1,12.6,8,551000
3887,4,2,60,1.25,2,8,0,37.5,1,687000
3639,4,2,2,0.79,2,4,1,8.8,9,1084000
1135,2,2,85,0.97,0,1,0,34.1,9,211000
1695,6,2,34,2.16,2,7,0,28.0,6,630000
4346,2,4,84,1.22,0,6,0,5.3,9,1010000
1651,3,2,88,0.61,1,6,0,22.4,6,326000
2487,3,1,65,2.34,1,3,0,37.2,6,409000
2731,5,1,0,2.01,3,10,0,24.9,4,924000
4546,2,1,6,0.23,2,7,1,21.4,3,939000
3227,3,2,19,2.5,2,6,0,15.0,3,711000
2368,4,2,42,1.77,2,10,1,31.7,2,742000
4800,3,1,5,0.48,1,10,1,36.6,4,1054000
3538,4,2,54,0.67,2,9,0,30.3,9,759000
4298,5,3,99,1.76,2,3,0,29.1,7,876000
4713,6,1,20,1.97,1,3,0,8.1,3,846000
1866,1,2,50,0.67,2,4,0,33.4,8,524000
3244,3,3,45,0.72,1,3,0,2.1,9,744000
4907,3,4,34,0.84,1,4,0,30.4,1,1199000
4173,3,3,99,1.54,3,6,0,8.8,1,697000
4769,3,2,7,0.51,2,1,0,19.7,9,889000
3346,3,3,67,0.35,2,2,0,28.0,9,788000
1553,6,3,15,1.73,2,10,0,30.5,7,608000
2882,5,2,66,1.97,1,6,1,35.6,3,705000
3574,1,4,70,1.3,2,6,0,11.7,4,564000
3696,3,2,63,0.97,2,1,0,9.4,7,626000
4985,3,4,1,1.14,2,6,1,39.9,9,1011000
1575,3,3,0,1.03,3,9,0,8.7,8,721000
2425,4,3,57,2.4,3,8,0,26.8,8,898000
3869,4,3,0,1.94,2,10,0,38.1,1,952000
1217,5,2,6,0.6,3,5,1,35.9,6,533000
914,4,2,87,1.02,2,4,0,18.0,6,300000
1416,4,4,68,1.41,2,6,0,25.7,5,424000
4774,4,3,84,1.57,0,5,1,21.4,1,1054000
4067,3,4,91,1.22,2,6,0,14.2,3,879000
1625,4,4,17,2.04,3,10,0,6.2,4,735000
2316,3,4,87,1.94,2,3,1,32.2,10,789000
3946,2,3,31,1.31,2,7,0,4.1,7,570000
1212,3,2,44,2.15,1,8,0,24.6,5,578000
1528,3,2,32,1.9,1,5,1,24.0,2,390000
4148,5,3,73,1.97,1,5,0,13.7,3,902000
3608,3,2,72,2.4,1,4,0,5.8,1,851000
1475,3,2,48,0.74,2,10,0,32.1,6,404000
4265,3,2,32,0.74,1,5,1,18.7,8,1134000
3304,4,4,96,2.23,2,10,0,29.1,4,823000
3767,2,4,70,1.95,2,8,0,1.2,2,797000
3586,6,3,67,2.32,1,5,1,3.4,4,935000
1922,5,2,27,0.25,0,9,0,7.4,10,739000
4879,4,3,86,1.61,3,1,0,5.0,4,1283000
2371,4,3,52,0.45,0,7,0,8.1,5,617000
2943,1,2,95,1.31,0,5,0,27.6,3,584000
2487,3,2,43,0.47,3,4,0,2.4,9,710000
4932,4,2,79,0.41,3,3,0,2.0,7,1037000
4651,2,3,54,0.13,2,10,0,1.8,9,1055000
4240,3,3,9,1.61,0,7,0,28.1,7,868000
4566,4,2,13,0.96,1,2,1,21.7,10,1064000
3126,3,4,35,0.35,3,5,0,15.1,4,669000
3714,5,1,33,0.87,3,2,1,27.2,5,580000
4752,2,2,87,0.51,2,7,1,22.4,7,988000
1395,4,2,17,2.36,1,6,0,0.8,6,533000
1528,4,1,15,0.87,0,10,0,33.6,9,560000
2165,4,2,36,0.9,0,7,0,14.3,3,442000
1498,3,2,40,2.12,2,9,1,16.3,8,778000
1195,4,2,24,1.65,0,2,1,31.4,10,274000
4971,5,2,7,1.8,3,9,0,7.9,4,1312000
3302,3,3,87,1.63,1,7,1,0.9,9,930000
2619,3,2,83,2.37,2,2,0,36.4,1,517000
1517,4,1,93,0.6,1,10,1,20.5,5,589000
3582,4,3,83,2.47,2,2,0,14.3,4,624000
4377,3,1,17,2.09,0,4,1,32.9,5,1182000
943,5,3,67,1.51,2,2,0,1.5,6,362000
3940,3,4,47,1.69,2,1,0,8.5,1,889000
3738,3,2,99,1.66,0,6,1,6.6,8,1049000
4436,4,4,69,0.24,3,10,0,29.6,3,973000
4022,4,3,66,0.62,2,5,0,12.8,7,791000
1967,5,4,17,2.41,3,3,0,31.0,7,772000
3416,6,3,17,1.38,3,1,1,2.1,9,867000
1862,3,2,55,1.01,3,9,0,24.5,7,555000
2956,2,4,22,1.93,0,8,1,13.1,8,974000
3782,1,2,34,1.36,1,6,0,7.9,4,925000
4094,4,2,5,0.13,3,6,0,32.8,10,985000
1956,5,2,25,1.87,2,4,0,16.8,4,619000
1532,3,2,84,1.86,1,2,1,23.1,10,465000
1753,2,2,60,0.5,2,4,0,1.8,8,500000
3339,2,3,87,2.4,1,2,0,31.8,4,598000
4124,5,4,14,0.64,2,7,0,11.8,4,819000
4101,3,1,90,1.2,3,9,0,27.9,10,828000
2342,3,4,31,0.38,2,2,1,30.5,3,589000
1991,4,4,11,1.55,1,9,0,5.1,3,979000
3793,5,1,4,1.0,2,9,1,12.2,4,848000
3481,4,2,63,0.95,2,8,0,29.1,2,720000
2017,4,3,70,2.08,2,1,0,9.7,3,411000
2340,2,3,85,0.12,1,5,0,34.0,2,306000
4036,4,3,26,2.02,2,10,1,12.8,6,1354000
3186,4,3,78,1.47,2,4,0,16.4,3,758000
4519,6,2,44,2.47,2,7,0,4.4,2,1284000
2188,3,1,34,1.51,3,8,1,6.3,9,567000
2656,1,3,25,0.23,2,10,0,11.4,8,876000
2165,2,1,22,0.22,1,8,1,2.4,5,883000
1299,3,3,12,2.22,2,2,1,8.1,9,689000
2480,5,3,89,2.12,2,3,0,16.7,5,666000
1310,1,3,2,0.93,1,10,0,15.5,5,522000
2124,3,4,28,1.58,2,10,0,8.3,4,941000
1955,3,2,65,1.28,1,7,0,3.7,3,503000
2627,2,3,63,2.42,1,4,0,13.1,10,743000
3941,3,3,27,2.38,3,6,1,29.9,9,880000
4286,3,4,86,2.46,3,8,0,20.6,4,982000
2610,3,3,35,2.18,2,8,0,37.9,7,875000
3723,4,2,5,2.28,2,7,0,6.0,5,1133000
3014,4,4,10,0.62,3,2,0,8.7,7,815000
4986,2,3,37,2.09,3,2,1,11.6,8,1464000
1513,6,1,33,1.8,2,3,0,1.0,8,561000
4402,4,3,80,2.41,2,4,0,37.8,10,1098000
4934,4,4,66,1.47,2,1,0,18.1,6,887000
4322,2,3,45,0.3,0,5,0,19.5,5,684000
2043,1,2,97,1.53,2,7,0,6.7,2,493000
4509,1,3,85,1.75,2,10,1,35.0,8,768000
1881,2,3,28,0.63,3,5,0,27.9,5,596000
1255,3,2,59,1.05,3,7,0,17.5,8,535000
1694,5,2,53,1.54,0,5,0,35.2,6,519000
2184,3,2,92,1.0,2,10,1,36.3,8,651000
2758,3,3,68,1.0,1,8,0,2.5,1,656000
3872,4,3,73,0.42,1,7,0,5.2,9,909000
2796,2,2,73,2.36,3,1,0,1.6,9,798000
1304,4,2,8,1.9,2,1,0,23.5,3,512000
2014,4,1,84,0.1,2,5,0,9.1,5,585000
2331,4,3,76,1.94,0,2,1,33.9,7,361000
4240,6,1,9,1.88,2,9,0,18.9,8,1289000
1623,3,1,74,0.12,2,2,0,33.6,7,380000
1728,4,1,67,0.99,1,9,0,22.4,3,665000
933,5,3,57,1.56,1,10,1,31.9,7,514000
2905,4,2,94,1.19,0,2,0,15.2,1,477000
4427,3,2,51,1.97,2,4,0,37.8,5,921000
2652,5,4,33,1.12,3,3,0,26.9,9,483000
4975,2,2,34,0.47,3,6,1,24.0,2,611000
3733,5,2,32,2.44,3,4,0,14.4,3,949000
4084,2,4,71,0.68,3,9,0,37.5,9,790000
3611,4,2,31,1.82,3,9,0,13.8,3,765000
2050,5,3,54,0.44,2,10,0,33.5,8,744000
4312,3,1,96,0.89,2,9,1,16.5,6,717000
2056,3,3,7,1.16,2,3,1,30.8,7,714000
4176,3,2,45,0.56,3,3,0,36.5,5,716000
